Red,Green,Blue
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
200,150,50
